observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
TSEND,Actionable-Atomic,ICS data (PLC logs),ICS Command,No,Proprietary-Documented Technology,,System function block used for sending buffers over established TCP connections.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
user program,Mentioned,ICS system logs,Software/Program,Full: Software,Open/Standard Technology,,The legitimate program executing on the target PLC that is halted to enable transfer of malicious code.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0858,relationship--a4c81fe6-1ad9-4bba-a415-a3c099eaa2be,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
worm,Mentioned,Network logs,Malware,Full: Malware,Open/Standard Technology,,Refers to the self-replicating code that copies itself to the target; may be functionally equivalent to PLC-Blaster.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0858,relationship--a4c81fe6-1ad9-4bba-a415-a3c099eaa2be,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
Ahnlab autoup.exe service,Actionable-Atomic,System logs,Service/Process,Full: Process,Proprietary-Documented Technology,,Specifies the exact service name that REvil targets for payload injection.,[REvil](https://attack.mitre.org/software/S0496) searches for whether the Ahnlab autoup.exe service is running on the target system and injects its payload into this existing process. (Citation: Tom Fakterman August 2019),T0849,relationship--5e099568-fb5c-4f58-af7e-4e1b7a9d1128,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
C2 system,Mentioned,Network logs,Network Entity,No,Open/Standard Technology,,"The actual details (e.g., IP address or domain) of the command and control system are not provided.",[REvil](https://attack.mitre.org/software/S0496) sends exfiltrated data from the victims system using HTTPS POST messages sent to the C2 system. (Citation: McAfee Labs October 2019) (Citation: SecureWorks September 2019),T0882,relationship--6ed07095-c23a-4676-807f-a544deaeb274,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
encrypted sensitive files used by OT equipment,Mentioned,System Logs/File System,File,Full: File,Open/Standard Technology,,"General reference to files that were encrypted; no specific file names, paths, or hashes provided.","The [REvil](https://attack.mitre.org/software/S0496) malware gained access to an organizations network and encrypted sensitive files used by OT equipment. (Citation: Selena Larson, Camille Singleton December 2020)",T0828,relationship--ab306654-2abb-4983-8d30-df4058adb06c,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
HTTPS POST message,Mentioned,Network logs,Network Communication,Full: Network Traffic,Open/Standard Technology,Wireshark,Indicates the method used to exfiltrate data using standard HTTPS protocol.,[REvil](https://attack.mitre.org/software/S0496) sends exfiltrated data from the victims system using HTTPS POST messages sent to the C2 system. (Citation: McAfee Labs October 2019) (Citation: SecureWorks September 2019),T0882,relationship--6ed07095-c23a-4676-807f-a544deaeb274,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
HTTPS POST messages,Mentioned,network logs,Network Communication,No,Open/Standard Technology,Zeek,Standard communication messages used over HTTPS; no specific parameters provided.,[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server. (Citation: Tom Fakterman August 2019) (Citation: SecureWorks September 2019),T0869,relationship--c90cfddb-253b-41c8-9057-2abde6f8aa6d,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
JavaScript file,Mentioned,email attachment logs,File,Full: File,Open/Standard Technology,,Generic reference to a JavaScript file executed upon click,[REvil](https://attack.mitre.org/software/S0496) initially executes when the user clicks on a JavaScript file included in the phishing emails .zip attachment. (Citation: Tom Fakterman August 2019),T0863,relationship--1fd4cf4e-a26c-4fe5-a7fd-f49b8aea8437,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
Malicious JavaScript attachment,Described,"email attachments, file system",Script File,Full: File,Open/Standard Technology,,This attachment delivers the payload and contains an embedded obfuscated PowerShell script.,"[REvil](https://attack.mitre.org/software/S0496) utilizes JavaScript, WScript, and PowerShell scripts to execute. The malicious JavaScript attachment has an obfuscated PowerShell script that executes the malware. (Citation: Tom Fakterman August 2019)",T0853,relationship--ee1bf429-2c7c-4eb6-acca-e758522baf2e,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
Obfuscated PowerShell script,Described,"file system, PowerShell logs",Code Snippet,Full: File,Proprietary-Documented Technology,,Embedded within the malicious JavaScript attachment and obfuscated to evade detection.,"[REvil](https://attack.mitre.org/software/S0496) utilizes JavaScript, WScript, and PowerShell scripts to execute. The malicious JavaScript attachment has an obfuscated PowerShell script that executes the malware. (Citation: Tom Fakterman August 2019)",T0853,relationship--ee1bf429-2c7c-4eb6-acca-e758522baf2e,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
OT equipment,Mentioned,ICS Data,Industrial Control System (ICS) Device,No,Proprietary-Documented Technology,,Generic reference to operational technology hardware with no additional identifying details.,"The [REvil](https://attack.mitre.org/software/S0496) malware gained access to an organizations network and encrypted sensitive files used by OT equipment. (Citation: Selena Larson, Camille Singleton December 2020)",T0828,relationship--ab306654-2abb-4983-8d30-df4058adb06c,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
phishing emails .zip attachment,Mentioned,email logs,File,Full: File,Open/Standard Technology,,ZIP file attached to phishing emails containing the JavaScript file,[REvil](https://attack.mitre.org/software/S0496) initially executes when the user clicks on a JavaScript file included in the phishing emails .zip attachment. (Citation: Tom Fakterman August 2019),T0863,relationship--1fd4cf4e-a26c-4fe5-a7fd-f49b8aea8437,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
prc field,Mentioned,configuration file,Configuration Parameter,No,Open/Standard Technology,,A field within the configuration file that lists the processes to be terminated.,[REvil](https://attack.mitre.org/software/S0496) searches for all processes listed in the prc field within its configuration file and then terminates each process. (Citation: McAfee Labs October 2019),T0881,relationship--309e4558-e591-4d03-9bb9-07d30acf011f,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
randomly generated URLs,Mentioned,network logs,URL,Full: URL,Open/Standard Technology,Zeek,"URLs are dynamically generated with no fixed pattern, making them non-actionable without further specifics.",[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server. (Citation: Tom Fakterman August 2019) (Citation: SecureWorks September 2019),T0869,relationship--c90cfddb-253b-41c8-9057-2abde6f8aa6d,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
remote server,Mentioned,network logs,Network Entity,No,Open/Standard Technology,,Generic reference; lacks specific address details for detection.,[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server. (Citation: Tom Fakterman August 2019) (Citation: SecureWorks September 2019),T0869,relationship--c90cfddb-253b-41c8-9057-2abde6f8aa6d,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil,Described,system logs,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced via MITRE ATT&CK link (S0496),[REvil](https://attack.mitre.org/software/S0496) initially executes when the user clicks on a JavaScript file included in the phishing emails .zip attachment. (Citation: Tom Fakterman August 2019),T0863,relationship--1fd4cf4e-a26c-4fe5-a7fd-f49b8aea8437,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
.zip attachment,Described,file system,Archive File,No,Open/Standard Technology,,Archive containing the malicious JavaScript file used to deploy REvil.,[REvil](https://attack.mitre.org/software/S0496) initially executes when the user clicks on a JavaScript file included in the phishing emails .zip attachment. (Citation: Tom Fakterman August 2019),T0863,relationship--1fd4cf4e-a26c-4fe5-a7fd-f49b8aea8437,FALSE,,REvil,https://attack.mitre.org/software/S0496,Dorin,,,,,,,,,
REvil,Described,endpoint logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,Referenced with its MITRE ATT&CK entry (S0496); denotes the malicious software that performs the process termination.,[REvil](https://attack.mitre.org/software/S0496) searches for all processes listed in the prc field within its configuration file and then terminates each process. (Citation: McAfee Labs October 2019),T0881,relationship--309e4558-e591-4d03-9bb9-07d30acf011f,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil,Described,Threat intelligence feeds,Software/Tool,Full: Malware,Open/Standard Technology,,Name is provided with a MITRE ATT&CK reference (https://attack.mitre.org/software/S0496) but lacks additional unique detection parameters.,[REvil](https://attack.mitre.org/software/S0496) searches for whether the Ahnlab autoup.exe service is running on the target system and injects its payload into this existing process. (Citation: Tom Fakterman August 2019),T0849,relationship--5e099568-fb5c-4f58-af7e-4e1b7a9d1128,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil,Described,Threat Intelligence,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced via MITRE ATT&CK and identified as a malware tool.,[REvil](https://attack.mitre.org/software/S0496) sends exfiltrated data from the victims system using HTTPS POST messages sent to the C2 system. (Citation: McAfee Labs October 2019) (Citation: SecureWorks September 2019),T0882,relationship--6ed07095-c23a-4676-807f-a544deaeb274,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
exfiltrated data,Described,network traffic,Data Transfer,No,Proprietary-Undocumented Technology,,Sensitive victim data sent by REvil to a remote C2 server.,[REvil](https://attack.mitre.org/software/S0496) sends exfiltrated data from the victims system using HTTPS POST messages sent to the C2 system. (Citation: McAfee Labs October 2019) (Citation: SecureWorks September 2019),T0882,relationship--6ed07095-c23a-4676-807f-a544deaeb274,FALSE,,REvil,https://attack.mitre.org/software/S0496,Dorin,,,,,,,,,
REvil,Mentioned,system logs,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced via MITRE ATT&CK entry S0496; no unique detection parameters provided.,[REvil](https://attack.mitre.org/software/S0496) sends HTTPS POST messages with randomly generated URLs to communicate with a remote server. (Citation: Tom Fakterman August 2019) (Citation: SecureWorks September 2019),T0869,relationship--c90cfddb-253b-41c8-9057-2abde6f8aa6d,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil,Described,Threat Intelligence feeds,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced with a MITRE ATT&CK link (S0496) indicating a specific ransomware tool.,[REvil](https://attack.mitre.org/software/S0496) uses the SMB protocol to encrypt files located on remotely connected file shares. (Citation: Max Heinemeyer February 2020),T0886,relationship--e323dee4-a896-4a82-85f5-d51d311b0437,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil,Described,threat intelligence feeds,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Malware family referenced with MITRE ATT&CK link.,"[REvil](https://attack.mitre.org/software/S0496) utilizes JavaScript, WScript, and PowerShell scripts to execute. The malicious JavaScript attachment has an obfuscated PowerShell script that executes the malware. (Citation: Tom Fakterman August 2019)",T0853,relationship--ee1bf429-2c7c-4eb6-acca-e758522baf2e,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
REvil configuration file,Mentioned,file system,Configuration File,Full: File,Open/Standard Technology,,Generic configuration file used by REvil; no specific file path or format provided.,[REvil](https://attack.mitre.org/software/S0496) searches for all processes listed in the prc field within its configuration file and then terminates each process. (Citation: McAfee Labs October 2019),T0881,relationship--309e4558-e591-4d03-9bb9-07d30acf011f,FALSE,,REvil,https://attack.mitre.org/software/S0496,,,,,,,,,,
process termination,Described,process logs,Process Termination,process,Open/Standard Technology,,Technique used by REvil to disable running applications.,[REvil](https://attack.mitre.org/software/S0496) searches for all processes listed in the prc field within its configuration file and then terminates each process. (Citation: McAfee Labs October 2019),T0881,relationship--309e4558-e591-4d03-9bb9-07d30acf011f,FALSE,,REvil,https://attack.mitre.org/software/S0496,Dorin,,,,,,,,,
